step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy
192,616064,1536,0.44860596217615867,0.0,0.5775577557755776
193,620232,1544,0.46708516994724886,0.0,0.6095008051529791
194,623632,1552,0.5286921143096255,0.0,0.5797922568460812
195,627288,1560,0.5746329322123267,0.0,0.5980167810831426
196,628896,1568,0.598194100952892,0.0,0.6203554119547657
197,632168,1576,0.5287627810105503,0.0,0.5769603097773476
198,634864,1584,0.5526409991766635,0.0,0.5665137614678899
199,638392,1592,0.4832746210731168,0.0,0.6195255474452555
200,641536,1600,0.4841710417073036,0.0,0.5655253837072018
201,643720,1608,0.5674074357761774,0.0,0.6044864226682408
202,647440,1616,0.4385523286408196,0.0,0.5727748691099477
203,650008,1624,0.4653121317918799,0.0,0.6429433051869723
204,651936,1632,0.6204087883534561,0.0,0.5716292134831461
205,655784,1640,0.4416285989367264,0.0,0.5956284153005464
206,657968,1648,0.5786906431600797,0.0,0.5327635327635327
207,662008,1656,0.44065543354787806,0.0,0.5714285714285714
208,665024,1664,0.525664293759274,0.0,0.5628415300546448
209,667656,1672,0.7208009220167815,0.0,0.5451950523311132
210,669712,1680,0.5388306491475633,0.0,0.6016949152542372
211,672984,1688,0.5114360719896004,0.0,0.5753968253968254
212,675552,1696,0.47995361309291573,0.0,0.6057571964956195
213,679272,1704,0.4862758040363173,0.0,0.5804967801287948
214,683120,1712,0.44483829586262724,0.0,0.5492813141683778
215,686904,1720,0.3823881331492558,0.0,0.6268343815513627
216,689216,1728,0.5698406508150865,0.0,0.5992555831265509
217,692424,1736,0.5216955342562062,0.0,0.6145552560646901
218,696272,1744,0.44591372566477516,0.0,0.5705824284304047
219,698712,1752,0.6130979734267976,0.0,0.5336597307221542
220,701920,1760,0.5567457223978296,0.0,0.5506958250497018
221,705320,1768,0.47920532476161976,0.0,0.6159068865179438
222,707824,1776,0.5477726873102405,0.0,0.5772058823529411
223,710264,1784,0.41033198215662275,0.0,0.6242603550295858
224,714432,1792,0.5005071732310613,0.0,0.5789895749799518
225,718536,1800,0.4230550260525381,0.0,0.607970342910102
226,723984,1808,0.31582910894383304,0.0,0.5408678102926338
227,726104,1816,0.5696705737037189,0.0,0.5617647058823529
228,729184,1824,0.49890858029129187,0.0,0.5688282138794084
229,732392,1832,0.560944249843303,0.0,0.5812441968430826
230,736688,1840,0.4367450291475899,0.0,0.528
231,739000,1848,0.5624080354643758,0.0,0.5803108808290155
232,741312,1856,0.4876550486461297,0.0,0.6083815028901735
233,744328,1864,0.41381255827099855,0.0,0.5856573705179283
234,749648,1872,0.40933818210240264,0.0,0.5849772382397572
235,756504,1880,0.29061772808665653,0.0,0.5889164598842018
236,759648,1888,0.5614493583986067,0.0,0.5640243902439024
237,763560,1896,0.4239425702974495,0.0,0.6067101584342963
238,766832,1904,0.5633511882337374,0.0,0.5731046931407943
239,769976,1912,0.40967192753907394,0.0,0.6024096385542169
240,772992,1920,0.5239424946365132,0.0,0.5631929046563193
241,775624,1928,0.44546625260174766,0.0,0.6112600536193029
242,777872,1936,0.4283141231105081,0.0,0.6132075471698113
243,781016,1944,0.4883686471274561,0.0,0.5630733944954128
244,783776,1952,0.5162908611500724,0.0,0.5692124105011933
245,786920,1960,0.5383097052166814,0.0,0.5575575575575575
246,789488,1968,0.5429579627506655,0.0,0.5842293906810035
247,792888,1976,0.4336182186746211,0.0,0.562358276643991
248,797120,1984,0.36794349771453266,0.0,0.5945121951219512
249,798984,1992,0.6080356047798774,0.0,0.5309446254071661
250,802000,2000,0.49129282362296683,0.0,0.5720930232558139
251,804888,2008,0.4668539941659081,0.0,0.5980746089049338
252,808288,2016,0.4325633642263176,0.0,0.6214859437751004
253,812648,2024,0.3639786273037121,0.0,0.5831556503198294
254,815856,2032,0.5582319979367025,0.0,0.5912007332722273
255,818680,2040,0.3944095153098528,0.0,0.6016830294530154
256,821568,2048,0.5409912065883464,0.0,0.6066252587991718
257,825032,2056,0.4390396799023779,0.0,0.6146341463414634
258,827408,2064,0.503162823653187,0.0,0.5947802197802198
259,832280,2072,0.36693876027151484,0.0,0.608355091383812
260,834784,2080,0.4443186796033696,0.0,0.6045883940620783
261,837352,2088,0.5328889699221687,0.0,0.6214039125431531
262,839536,2096,0.6639889593460404,0.0,0.5623529411764706
263,844472,2104,0.37419654021112636,0.0,0.5772058823529411
264,846400,2112,0.5566458333507317,0.0,0.5641838351822503
265,851208,2120,0.4496155248643911,0.0,0.6057553956834533
266,855952,2128,0.38709546048322085,0.0,0.5480116391852571
267,859032,2136,0.5893485883661049,0.0,0.599644128113879
268,861344,2144,0.5252250445150536,0.0,0.6154822335025381
269,863848,2152,0.4543916340113742,0.0,0.6471321695760599
270,866352,2160,0.6037533548657914,0.0,0.5481997677119629
271,868344,2168,0.644340824136465,0.0,0.6039119804400978
272,871168,2176,0.5580322836547265,0.0,0.5589569160997733
273,874504,2184,0.48566710225255716,0.0,0.5893574297188755
274,876624,2192,0.5430734285859145,0.0,0.6298701298701299
275,879576,2200,0.41396072673896417,0.0,0.5916442048517521
276,882080,2208,0.5674321126668423,0.0,0.5894736842105263
277,885032,2216,0.48977789432521535,0.0,0.6112886048988285
278,889712,2224,0.35403622725253986,0.0,0.6310063463281959
279,893944,2232,0.3931167439824316,0.0,0.5865191146881288
280,896384,2240,0.6235018583768571,0.0,0.5924276169265034
281,898824,2248,0.547798971954413,0.0,0.6361702127659574
282,903440,2256,0.4374024727794831,0.0,0.5498220640569395
283,906328,2264,0.4109444867883304,0.0,0.5916666666666667
284,908960,2272,0.39588498023135155,0.0,0.6005917159763313
285,912104,2280,0.5394677354305698,0.0,0.6005665722379604
286,915248,2288,0.4585521235604179,0.0,0.5891203703703703
287,917880,2296,0.5787167031357512,0.0,0.5991332611050921
288,919744,2304,0.7009589120875694,0.0,0.5560053981106613
289,923272,2312,0.4084041812689701,0.0,0.5880398671096345
290,926800,2320,0.5904431080542946,0.0,0.580906148867314
291,929432,2328,0.5203473984362209,0.0,0.56875
292,934048,2336,0.39907386203772244,0.0,0.5638095238095238
293,938472,2344,0.4676314947308166,0.0,0.580115036976171
294,942384,2352,0.3679342603376028,0.0,0.6149068322981367
295,944952,2360,0.5791764219758627,0.0,0.6094929881337648
296,947968,2368,0.547453694134225,0.0,0.5791106514994829
297,950984,2376,0.4876958765891568,0.0,0.5474452554744526
298,955920,2384,0.27918756181218296,0.0,0.5532994923857868
299,959384,2392,0.4250877796517403,0.0,0.6002098635886673
300,964000,2400,0.39818483310095876,0.0,0.5900452488687783
301,967528,2408,0.3984727411240969,0.0,0.5764139590854392
302,971568,2416,0.42021717079956383,0.0,0.5759368836291914
303,976056,2424,0.3184819312320631,0.0,0.6094276094276094
304,979520,2432,0.6043749968606447,0.0,0.5762170790103751
305,981256,2440,0.6379745594033723,0.0,0.5535444947209653
306,984144,2448,0.38370533079848385,0.0,0.5838235294117647
307,987864,2456,0.4549642763861456,0.0,0.5709969788519638
308,991072,2464,0.6241587019617817,0.0,0.5744147157190636
309,994664,2472,0.44096434141280355,0.0,0.623574144486692
310,998512,2480,0.4094443618933746,0.0,0.6031589338598223
311,1002552,2488,0.43750559357686425,0.0,0.5955678670360111
312,1005120,2496,0.5318289489388739,0.0,0.6028537455410226
313,1007816,2504,0.5315501722752936,0.0,0.5993031358885017
314,1010000,2512,0.4699982738574979,0.0,0.5852187028657617
315,1017432,2520,0.27910666442068127,0.0,0.5978835978835979
316,1021920,2528,0.3625074667888779,0.0,0.6212962962962963
317,1024936,2536,0.44994473479337854,0.0,0.6041426927502876
318,1026992,2544,0.6193878706845009,0.0,0.5525568181818182
319,1029880,2552,0.5365093927036889,0.0,0.5919421487603306
320,1032384,2560,0.5703245850302269,0.0,0.5297225891677675
321,1035720,2568,0.4553988537472087,0.0,0.5530660377358491
322,1040848,2576,0.36435881581268154,0.0,0.6236989591673339
323,1042648,2584,0.6129397199762947,0.0,0.6105263157894737
324,1046112,2592,0.5624288651819948,0.0,0.5740432612312812
325,1049512,2600,0.5798686331018732,0.0,0.5744322960470984
326,1052336,2608,0.5817874907190558,0.0,0.567741935483871
327,1054136,2616,0.665200491861352,0.0,0.5505952380952381
328,1057280,2624,0.47472796536348016,0.0,0.5572792362768496
329,1061640,2632,0.38198883890214264,0.0,0.6233303650934996
330,1066832,2640,0.32748602327262216,0.0,0.6001890359168242
331,1070296,2648,0.5155100077221928,0.0,0.5793499043977055
332,1072480,2656,0.5105361456731247,0.0,0.5746951219512195
333,1075432,2664,0.6181555101349864,0.0,0.5893675527039414
334,1077616,2672,0.5167687317733061,0.0,0.650375939849624
335,1080632,2680,0.48896679331433623,0.0,0.6101694915254238
336,1085504,2688,0.3040758608586141,0.0,0.6164102564102564
337,1087816,2696,0.5288140737190593,0.0,0.5757978723404256
338,1089616,2704,0.6870369922515129,0.0,0.5849056603773585
339,1093336,2712,0.29689336941178046,0.0,0.6246819338422391
340,1095520,2720,0.4940302044618036,0.0,0.5361842105263158
341,1097832,2728,0.5764556201754041,0.0,0.5716064757160647
342,1101488,2736,0.6221906312525127,0.0,0.5363489499192245
343,1106872,2744,0.35378366661582733,0.0,0.5710681244743482
344,1110016,2752,0.5992775031348783,0.0,0.6011560693641619
345,1113032,2760,0.4360051636524769,0.0,0.5863354037267081
346,1115664,2768,0.5628056185022702,0.0,0.562429696287964
347,1118040,2776,0.4675234605976747,0.0,0.5752212389380531
348,1120544,2784,0.5318702980657559,0.0,0.6106696935300795
349,1123112,2792,0.6503763646962043,0.0,0.5421558164354322
350,1126896,2800,0.5313612365816339,0.0,0.5982357658380112
351,1129784,2808,0.5749693444787839,0.0,0.5456453305351522
352,1133120,2816,0.3818114623668269,0.0,0.6377952755905512
353,1136136,2824,0.5629262563435374,0.0,0.6187050359712231
354,1138256,2832,0.6123969236555281,0.0,0.5708609271523178
355,1140696,2840,0.5714248101902208,0.0,0.5849514563106796
356,1144416,2848,0.4357430039846697,0.0,0.6023506366307542
357,1148136,2856,0.4403826461630437,0.0,0.571875
358,1150256,2864,0.6689534790889753,0.0,0.5046979865771812
359,1152632,2872,0.5148924887952502,0.0,0.6020278833967047
360,1155136,2880,0.53739045883333,0.0,0.6
361,1160456,2888,0.32290718627553544,0.0,0.6248896734333628
362,1163536,2896,0.5121949303520759,0.0,0.5208581644815257
363,1166232,2904,0.5347985460363274,0.0,0.5869311551925321
364,1169568,2912,0.5435642198530548,0.0,0.5783242258652095
365,1172904,2920,0.4569226870563986,0.0,0.6122448979591837
366,1176176,2928,0.47008889074734184,0.0,0.6037151702786377
367,1178488,2936,0.6093917697215916,0.0,0.6190998902305159
368,1181312,2944,0.5188848821511336,0.0,0.5578313253012048
369,1183880,2952,0.5552178255995873,0.0,0.5841013824884793
370,1186768,2960,0.43962382036927417,0.0,0.6310223266745005
371,1189208,2968,0.6059657958137276,0.0,0.555688622754491
372,1192288,2976,0.46196856538832987,0.0,0.5453474676089517
373,1195432,2984,0.5272033406222497,0.0,0.5747126436781609
374,1198000,2992,0.5658941970588869,0.0,0.5594660194174758
375,1202360,3000,0.44531670768047915,0.0,0.5921926910299004
376,1205376,3008,0.46681480775241113,0.0,0.5862857142857143
377,1208456,3016,0.5081223290782999,0.0,0.5812053115423902
378,1211216,3024,0.4395547021580929,0.0,0.6204819277108434
379,1214104,3032,0.49467049195941953,0.0,0.5763313609467455
380,1216544,3040,0.598109432453635,0.0,0.5461077844311377
381,1220328,3048,0.37959157897731777,0.0,0.5559796437659033
382,1223152,3056,0.5523111830731063,0.0,0.569593147751606
383,1226424,3064,0.4789869044497104,0.0,0.5719026548672567
384,1229824,3072,0.4343837171091648,0.0,0.5404101326899879
385,1233608,3080,0.47736655041430304,0.0,0.5854108956602031
386,1236816,3088,0.5258240394270096,0.0,0.6229946524064172
387,1239768,3096,0.6863030185250755,0.0,0.5675675675675675
388,1242400,3104,0.4571698695647917,0.0,0.6259541984732825
389,1246312,3112,0.5283458965416572,0.0,0.6182481751824818
390,1248304,3120,0.6209856269125021,0.0,0.6041666666666666
391,1251384,3128,0.3731518117220725,0.0,0.5945945945945946
392,1253632,3136,0.5696675573403378,0.0,0.6027918781725888
393,1256584,3144,0.5142208406248416,0.0,0.5777027027027027
394,1260176,3152,0.4262202105281269,0.0,0.6028513238289206
395,1262872,3160,0.5750123578637277,0.0,0.583778014941302
396,1266336,3168,0.37611176623967896,0.0,0.5933412604042806
397,1268456,3176,0.674308914952675,0.0,0.553421368547419
398,1271728,3184,0.46646850503379955,0.0,0.6346899224806202
399,1274360,3192,0.4465184188739367,0.0,0.6057692307692307
400,1276992,3200,0.6665736960047833,0.0,0.5575575575575575
401,1281352,3208,0.43642286255441337,0.0,0.5574977000919963
402,1285008,3216,0.3621488659443818,0.0,0.5324137931034483
403,1286488,3224,0.6236865904941279,0.0,0.5690909090909091
404,1289056,3232,0.5565878396460595,0.0,0.6120218579234973
405,1293288,3240,0.4491485342293536,0.0,0.5888985255854293
406,1295600,3248,0.6013148080574401,0.0,0.5690672963400236
407,1299128,3256,0.4236121815755397,0.0,0.6052083333333333
408,1302272,3264,0.4106947887902704,0.0,0.6352128883774454
409,1303816,3272,0.5494386361141591,0.0,0.601063829787234
410,1306256,3280,0.43784605872822857,0.0,0.6058495821727019
411,1308888,3288,0.6658728517515926,0.0,0.5896686159844055
412,1311328,3296,0.5578737860524728,0.0,0.5389876880984952
413,1313640,3304,0.5327595144803422,0.0,0.6180904522613065
414,1317296,3312,0.5263230542615017,0.0,0.5736704446381866
415,1321656,3320,0.43978238594282815,0.0,0.5565134099616859
416,1324416,3328,0.5034028744609765,0.0,0.5930372148859544
417,1327752,3336,0.4359474239915612,0.0,0.5855039637599094
418,1330384,3344,0.4627271683857507,0.0,0.6345238095238095
419,1334552,3352,0.32224117293956644,0.0,0.6093567251461989
420,1337056,3360,0.5305496367013496,0.0,0.6119951040391677
421,1339176,3368,0.49524861220626254,0.0,0.593607305936073
422,1342320,3376,0.38511235149973905,0.0,0.5963777490297542
423,1345208,3384,0.4689062543819938,0.0,0.5663600525624178
424,1347648,3392,0.6114297714749268,0.0,0.5719139297848245
425,1350792,3400,0.3839636276832204,0.0,0.5608011444921316
426,1354384,3408,0.5151902395773541,0.0,0.5485110470701249
427,1358168,3416,0.47856417841973975,0.0,0.5822898032200358
428,1361824,3424,0.44828898188180927,0.0,0.5910418695228822
429,1364392,3432,0.6346848881475464,0.0,0.5965270684371808
430,1367536,3440,0.47461158090479877,0.0,0.5785219399538106
431,1370424,3448,0.3879727625979647,0.0,0.5947802197802198
432,1374144,3456,0.4068392062094554,0.0,0.615
433,1376200,3464,0.5451152700825276,0.0,0.6236842105263158
